id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
53,Kahdhoo,0,05:51,17:56,14:14,72%,31°C,fine,0.6 mm,ESE 06 mph,-,2019-10-08 12:00:11,2019-10-08 12:00:11
54,Kahdhoo,0,05:51,17:56,14:14,76%,28°C,fine,0.6 mm,VARIABLE 02 mph,-,2019-10-09 00:00:06,2019-10-09 00:00:06
55,Kahdhoo,0,05:50,17:56,14:59,69%,31°C,fine,NIL,VARIABLE 02 mph,-,2019-10-09 12:00:05,2019-10-09 12:00:05
56,Kahdhoo,0,05:50,17:56,14:59,81%,27°C,fine,NIL,VARIABLE 01 mph,-,2019-10-10 00:00:05,2019-10-10 00:00:05
57,Kahdhoo,0,05:50,17:56,15:42,79%,29°C,cloudy,NIL,S 06 mph,-,2019-10-10 12:00:11,2019-10-10 12:00:11
58,Kahdhoo,0,05:50,17:56,16:23,96%,25°C,cloudy,NIL,VARIABLE 01 mph,-,2019-10-11 00:00:05,2019-10-11 00:00:05
59,Kahdhoo,0,05:50,17:56,16:23,74%,30°C,fine,NIL,E 06 mph,-,2019-10-11 12:00:06,2019-10-11 12:00:06
60,Kahdhoo,0,05:50,17:56,16:23,93%,26°C,slight rain,NIL,E 06 mph,-,2019-10-12 00:00:04,2019-10-12 00:00:04
61,Kahdhoo,0,05:50,17:55,17:04,77%,30°C,cloudy,5.4 mm,VARIABLE 02 mph,-,2019-10-12 12:00:10,2019-10-12 12:00:10
62,Kahdhoo,0,05:50,17:55,17:04,92%,26°C,cloudy,5.4 mm,E 03 mph,-,2019-10-13 00:00:04,2019-10-13 00:00:04
63,Kahdhoo,0,05:50,17:55,17:45,72%,30°C,fine,2.6 mm,E 06 mph,-,2019-10-13 12:00:07,2019-10-13 12:00:07
64,Kahdhoo,0,05:49,17:55,18:27,82%,28°C,fine,2.6 mm,NE 06 mph,-,2019-10-14 00:00:05,2019-10-14 00:00:05
65,Kahdhoo,0,05:49,17:55,18:27,71%,31°C,fine,NIL,NE 06 mph,-,2019-10-14 12:00:11,2019-10-14 12:00:11
66,Kahdhoo,0,05:49,17:55,18:27,92%,27°C,cloudy,NIL,CALM,-,2019-10-15 00:00:06,2019-10-15 00:00:06
67,Kahdhoo,0,05:49,17:54,19:09,78%,30°C,fine,4.1 mm,SE 05 mph,-,2019-10-15 12:00:10,2019-10-15 12:00:10
68,Kahdhoo,0,05:49,17:54,19:09,81%,27°C,cloudy,4.1 mm,WSW 03 mph,-,2019-10-16 00:00:06,2019-10-16 00:00:06
