id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
64,Kaadehdhoo,0,05:51,17:58,17:48,83%,28°C,fine,3.7 mm,E 06 mph,-,2019-10-14 00:00:05,2019-10-14 00:00:05
65,Kaadehdhoo,0,05:51,17:58,18:29,80%,30°C,cloudy,8.9 mm,E 07 mph,-,2019-10-14 12:00:11,2019-10-14 12:00:11
66,Kaadehdhoo,0,05:51,17:58,18:29,86%,28°C,cloudy,8.9 mm,SSE 05 mph,-,2019-10-15 00:00:11,2019-10-15 00:00:11
67,Kaadehdhoo,0,05:51,17:58,18:29,90%,27°C,partly cloudy,8.9 mm,VARIABLE 02 mph,-,2019-10-15 12:00:06,2019-10-15 12:00:06
68,Kaadehdhoo,0,05:51,17:58,18:29,98%,26°C,slight shower,8.9 mm,SW 03 mph,-,2019-10-16 00:00:10,2019-10-16 00:00:10
69,Kaadehdhoo,0,05:50,17:57,19:58,82%,28°C,fine,2.8 mm,SSW 03 mph,-,2019-10-16 12:00:07,2019-10-16 12:00:07
70,Kaadehdhoo,0,05:50,17:57,19:58,90%,26°C,cloudy,2.8 mm,Variable 02 mph,-,2019-10-17 00:00:09,2019-10-17 00:00:09
71,Kaadehdhoo,0,05:50,17:57,20:47,80%,29°C,partly cloudy,17.0 mm,E 03 mph,-,2019-10-17 12:00:06,2019-10-17 12:00:06
72,Kaadehdhoo,0,05:50,17:57,20:47,88%,28°C,partly cloudy,17.0 mm,E 05 mph,-,2019-10-18 00:00:06,2019-10-18 00:00:06
73,Kaadehdhoo,0,05:50,17:57,21:38,79%,30°C,cloudy,11.4 mm,ESE 06 mph,-,2019-10-18 12:00:04,2019-10-18 12:00:04
74,Kaadehdhoo,0,05:50,17:57,21:38,80%,28°C,fine,11.4 mm,SE 05 mph,-,2019-10-19 00:00:04,2019-10-19 00:00:04
75,Kaadehdhoo,0,05:50,17:56,23:28,76%,30°C,partly cloudy,5.1 mm,S 06 mph,-,2019-10-20 12:00:05,2019-10-20 12:00:05
76,Kaadehdhoo,0,05:50,17:56,23:28,75%,30°C,cloudy,5.1 mm,SSE 07 mph,-,2019-10-21 12:00:05,2019-10-21 12:00:05
77,Kaadehdhoo,0,05:50,17:56,23:28,76%,28°C,fine,5.1 mm,SSE 05 mph,-,2019-10-22 00:00:09,2019-10-22 00:00:09
78,Kaadehdhoo,0,05:49,17:56,00:25,73%,30°C,fine,NIL,SE 07 mph,-,2019-10-22 12:00:08,2019-10-22 12:00:08
79,Kaadehdhoo,0,05:49,17:56,00:25,83%,28°C,partly cloudy,NIL,SSE 05 mph,-,2019-10-23 00:00:24,2019-10-23 00:00:24
80,Kaadehdhoo,0,05:49,17:56,01:22,71%,30°C,fine,NIL,SE 09 mph,-,2019-10-23 12:00:05,2019-10-23 12:00:05
81,Kaadehdhoo,0,05:49,17:56,01:22,82%,28°C,cloudy,NIL,SSE 06 mph,-,2019-10-24 00:00:10,2019-10-24 00:00:10
82,Kaadehdhoo,0,05:49,17:56,02:18,82%,28°C,cloudy,TRACE,ESE 09 mph,-,2019-10-24 12:00:05,2019-10-24 12:00:05
83,Kaadehdhoo,0,05:49,17:56,02:18,85%,28°C,cloudy,TRACE,SE 03 mph,-,2019-10-25 00:00:05,2019-10-25 00:00:05
84,Kaadehdhoo,0,05:49,17:56,02:18,92%,26°C,slight rain,TRACE,ESE 05 mph,-,2019-10-25 12:00:05,2019-10-25 12:00:05
85,Kaadehdhoo,0,05:49,17:56,02:18,83%,28°C,partly cloudy,TRACE,ESE 08 mph,-,2019-10-26 00:00:05,2019-10-26 00:00:05
86,Kaadehdhoo,0,05:49,17:55,04:06,76%,31°C,partly cloudy,2.2 mm,E 05 mph,-,2019-10-26 12:00:04,2019-10-26 12:00:04
