id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
156,Gan,1,05:46,17:55,13:38,76%,31°C,fine,1.5 mm,SE 15 mph,10:42,2019-12-09 12:00:10,2019-12-09 12:00:10
157,Gan,1,05:46,17:55,13:38,83%,28°C,fine,1.5 mm,SE 12 mph,11:30,2019-12-10 00:00:07,2019-12-10 00:00:07
158,Gan,1,05:46,17:55,13:38,72%,31°C,fine,TRACE,S 11 mph,11:30,2019-12-10 12:00:10,2019-12-10 12:00:10
159,Gan,1,05:46,17:55,13:38,82%,28°C,partly cloudy,TRACE,SSE 13 mph,9:48,2019-12-11 00:00:04,2019-12-11 00:00:04
160,Gan,1,05:55,18:05,17:26,74%,31°C,fine,NIL,S 08 mph,9:48,2019-12-11 12:00:06,2019-12-11 12:00:06
161,Gan,1,05:55,18:05,17:26,86%,27°C,fine,NIL,S 06 mph,7:48,2019-12-12 00:00:04,2019-12-12 00:00:04
162,Gan,1,05:46,17:55,13:38,76%,30°C,partly cloudy,2.3 mm,NNE 06 mph,7:48,2019-12-12 12:00:04,2019-12-12 12:00:04
163,Gan,1,05:46,17:55,13:38,89%,26°C,slight shower,2.3 mm,NW 12 mph,6:48,2019-12-13 00:00:05,2019-12-13 00:00:05
164,Gan,1,05:56,18:06,19:17,90%,27°C,slight rain,6.3 mm,E 06 mph,6:48,2019-12-13 12:00:11,2019-12-13 12:00:11
165,Gan,1,05:56,18:07,20:16,74%,30°C,fine,35.0 mm,N 06 mph,0:0,2019-12-14 12:00:09,2019-12-14 12:00:09
166,Gan,1,05:57,18:07,21:13,90%,27°C,cloudy,35.0 mm,VARIABLE 02 mph,9:42,2019-12-15 00:00:05,2019-12-15 00:00:05
167,Gan,1,05:57,18:07,21:13,87%,27°C,cloudy,2.6 mm,S 10 mph,9:42,2019-12-15 12:00:05,2019-12-15 12:00:05
168,Gan,1,05:57,18:07,21:13,90%,26°C,cloudy,2.6 mm,CALM,1:18,2019-12-16 00:00:06,2019-12-16 00:00:06
169,Gan,1,05:57,18:08,22:09,74%,30°C,cloudy,0.4 mm,NE 05 mph,1:18,2019-12-16 12:00:04,2019-12-16 12:00:04
170,Gan,1,05:57,18:08,22:09,82%,28°C,fine,0.4 mm,E 05 mph,5:42,2019-12-17 00:00:06,2019-12-17 00:00:06
171,Gan,1,05:58,18:18,23:03,72%,30°C,fine,NIL,ENE 07 mph,5:42,2019-12-17 12:00:05,2019-12-17 12:00:05
172,Gan,1,05:58,18:09,23:55,87%,28°C,fine,NIL,ESE 06 mph,11:48,2019-12-18 00:00:11,2019-12-18 00:00:11
173,Gan,1,05:58,18:09,23:55,72%,31°C,partly cloudy,0.7 mm,SSE 09 mph,11:48,2019-12-18 12:00:10,2019-12-18 12:00:10
174,Gan,1,05:59,18:09,00:00,82%,28°C,fine,0.7 mm,SSE 10 mph,8:12,2019-12-19 00:00:06,2019-12-19 00:00:06
175,Gan,1,05:59,18:09,00:00,92%,28°C,slight shower,TRACE,S 03 mph,8:12,2019-12-19 12:00:07,2019-12-19 12:00:07
176,Gan,1,05:59,18:09,00:00,87%,28°C,partly cloudy,TRACE,WSW 09 mph,7:0,2019-12-20 00:00:04,2019-12-20 00:00:04
177,Gan,1,05:59,18:10,00:45,87%,28°C,windy,9.7 mm,W 23 mph,7:0,2019-12-20 12:00:05,2019-12-20 12:00:05
178,Gan,1,05:59,18:10,00:45,94%,26°C,slight shower,9.7 mm,W 29 mph,5:48,2019-12-21 00:00:10,2019-12-21 00:00:10
179,Gan,1,06:00,18:10,01:34,88%,27°C,cloudy,1.1 mm,SW 09 mph,5:42,2019-12-22 00:00:06,2019-12-22 00:00:06
180,Gan,1,06:00,18:11,02:24,78%,30°C,fine,5.1 mm,WSW 14 mph,5:42,2019-12-22 12:00:11,2019-12-22 12:00:11
181,Gan,1,06:00,18:11,02:24,91%,27°C,cloudy,5.1 mm,WSW 08 mph,5:30,2019-12-23 00:00:05,2019-12-23 00:00:05
182,Gan,1,06:01,18:11,03:15,95%,26°C,slight shower,9.0 mm,NW 07 mph,5:30,2019-12-23 12:00:11,2019-12-23 12:00:11
183,Gan,1,06:01,18:12,04:07,84%,27°C,slight rain,9.0 mm,WNW 10 mph,0:0,2019-12-24 00:00:10,2019-12-24 00:00:10
184,Gan,1,06:01,18:12,04:07,76%,30°C,partly cloudy,12.4 mm,WNW 10 mph,0:0,2019-12-24 12:00:04,2019-12-24 12:00:04
