id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
54,Hanimadhoo,1,05:52,17:56,12:40,82%,28°C,thundershower,0.2 mm,SW 06 mph,7:06,2019-10-07 00:00:05,2019-10-07 00:00:05
55,Hanimadhoo,1,05:52,17:56,13:30,77%,30°C,partly cloudy,6.2 mm,WSW 09 mph,7:06,2019-10-07 12:00:11,2019-10-07 12:00:11
56,Hanimadhoo,1,05:52,17:56,13:30,79%,28°C,cloudy,6.2 mm,WSW 07 mph,9:0,2019-10-08 00:00:06,2019-10-08 00:00:06
57,Hanimadhoo,1,05:52,17:56,14:17,89%,26°C,slight rain,6.2 mm,SW 06 mph,9:0,2019-10-08 12:00:11,2019-10-08 12:00:11
58,Hanimadhoo,1,05:52,17:56,14:17,86%,28°C,fine,6.2 mm,W 06 mph,3:24,2019-10-09 00:00:05,2019-10-09 00:00:05
59,Hanimadhoo,1,05:51,17:55,15:01,76%,30°C,fine,8.4 mm,W 07 mph,3:24,2019-10-09 12:00:06,2019-10-09 12:00:06
60,Hanimadhoo,1,05:51,17:55,15:01,82%,27°C,cloudy,8.4 mm,W 05 mph,8:06,2019-10-10 00:00:11,2019-10-10 00:00:11
61,Hanimadhoo,1,05:51,17:55,15:44,76%,30°C,partly cloudy,4.4 mm,SSE 06 mph,8:06,2019-10-10 12:00:11,2019-10-10 12:00:11
62,Hanimadhoo,1,05:51,17:55,15:44,80%,28°C,partly cloudy,4.4 mm,W 06 mph,4:42,2019-10-11 00:00:06,2019-10-11 00:00:06
63,Hanimadhoo,1,05:51,17:54,16:25,73%,30°C,partly cloudy,0.9 mm,WNW 05 mph,4:42,2019-10-11 12:00:05,2019-10-11 12:00:05
64,Hanimadhoo,1,05:51,17:54,16:25,88%,27°C,fine,0.9 mm,SSE 03 mph,4:0,2019-10-12 00:00:05,2019-10-12 00:00:05
65,Hanimadhoo,1,05:51,17:54,17:05,89%,27°C,moderate shower,NIL,E 12 mph,4:0,2019-10-12 12:00:11,2019-10-12 12:00:11
66,Hanimadhoo,1,05:51,17:54,17:05,92%,27°C,cloudy,NIL,WSW 09 mph,4:0,2019-10-13 00:00:05,2019-10-13 00:00:05
